Participant_ID,Name,Age,Gender,State,College,Event_Name,Event_Date,Feedback_Text,Satisfaction_Level
P001,James,37,Male,Kansas,Boston University,Dance,2024-11-03,"The choreography was moderate. Overall, the dancers showed inadequate skill. ",Dissatisfied
P002,Mary,44,Female,Vermont,Pennsylvania State University,Art Exhibition,2024-11-03,The artwork displayed was passable. The curation was uninspired. It was my first time attending such an event.,Dissatisfied
P003,John,39,Male,North Carolina,Vanderbilt University,Music,2024-11-03,The harmony between instruments was sufficient. The overall sound quality was tolerable.,Neutral
P004,Patricia,45,Male,Delaware,University of Melbourne,Stand-up Comedy,2024-11-04,The punchlines were incredible. The stage presence was brilliant.,Very Satisfied
P005,Robert,64,Female,Texas,Yale University,Art Exhibition,2024-11-03,The artistic technique was decent. The gallery layout was extraordinary. Looking forward to the next edition.,Satisfied
P006,Jennifer,61,Female,Montana,Brown University,Drama,2024-11-05,The cast chemistry was excellent. The narrative structure was splendid. The venue was well-suited to this type of event.,Very Satisfied
P007,Michael,31,Female,Texas,University of Melbourne,Drama,2024-11-01,The cast chemistry was acceptable. The narrative structure was adequate. The venue was perfect for this type of event.,Neutral
P008,Linda,44,Female,Montana,Indian Institute of Science,Cooking Competition,2024-11-02,The culinary creativity was splendid. The technical skill was excellent. Looking forward to future performances.,Satisfied
P009,William,26,Female,Wisconsin,University of Texas at Austin,Debate,2024-11-05,The topic exploration was amazing. The counterpoints were fantastic. It was my first time attending such an event.,Very Satisfied
P010,Elizabeth,35,Female,New Hampshire,Northwestern University,Debate,2024-11-04,The arguments presented were flawed. The rebuttals were typical. It was my second time attending such an event.,Dissatisfied
P011,David,22,Male,Arkansas,University of British Columbia,Stand-up Comedy,2024-11-05,The humor was standard. The audience engagement was reasonable.,Satisfied
P012,Barbara,44,Female,Iowa,Indian Institute of Science,Debate,2024-11-05,The evidence provided was tolerable. The speakers' delivery was disappointing.,Dissatisfied
P013,Richard,26,Other,Oregon,King's College London,Debate,2024-11-01,The arguments presented were superb. The rebuttals were average. The venue was appropriate for this type of event.,Satisfied
P014,Susan,44,Male,Ohio,University of North Carolina at Chapel Hill,Music,2024-11-04,The musical arrangement was poor. The vocalists were subpar. It was my first time attending such an event.,Very Dissatisfied
P015,Joseph,31,Male,Rhode Island,Imperial College London,Poetry,2024-11-03,The poetic imagery was inadequate. The recitation was mediocre. The venue was perfect for this type of event.,Dissatisfied
P016,Jessica,55,Female,Rhode Island,Boston University,Art Exhibition,2024-11-01,The artwork displayed was passable. The curation was typical. ,Neutral
P017,Thomas,24,Male,Idaho,University of Sydney,Stand-up Comedy,2024-11-04,The comic narrative was poor. The improvisation was ordinary. It was my second time attending such an event.,Dissatisfied
P018,Sarah,23,Male,South Carolina,London School of Economics,Film Screening,2024-11-02,The directorial approach was adequate. The character development was outstanding.,Satisfied
P019,Charles,56,Female,Illinois,Peking University,Poetry,2024-11-05,The poetic imagery was subpar. The recitation was mediocre. The venue was well-suited to this type of event.,Very Dissatisfied
P020,Karen,36,Male,New Mexico,Georgia Institute of Technology,Art Exhibition,2024-11-03,The conceptual depth was fantastic. The presentation was masterful. It was my second time attending such an event.,Very Satisfied
P021,Christopher,38,Male,West Virginia,"University of California, Los Angeles",Debate,2024-11-02,The topic exploration was ordinary. The counterpoints were deficient. I liked the atmosphere.,Dissatisfied
P022,Lisa,20,Other,Wisconsin,Rice University,Debate,2024-11-03,The topic exploration was satisfactory. The counterpoints were uninspired. I really enjoyed the event.,Dissatisfied
P023,Daniel,22,Male,Georgia,Oxford University,Music,2024-11-05,The rhythm section was unsatisfactory. The vocal performances were lackluster.,Very Dissatisfied
P024,Nancy,46,Female,Oregon,Brown University,Poetry,2024-11-05,The wordplay was impressive. The overall performance was brilliant. Looking forward to similar events.,Satisfied
P025,Matthew,46,Female,Maine,New York University,Film Screening,2024-11-03,The visual effects were mediocre. The sound design was forgettable. It was my third time attending such an event.,Very Dissatisfied
P026,Betty,59,Male,Hawaii,Princeton University,Poetry,2024-11-02,The metaphorical content was inadequate. The poets' presence was mediocre. I would probably recommend this to friends.,Very Dissatisfied
P027,Anthony,23,Female,Alaska,University of Southern California,Fashion Show,2024-11-03,The clothing designs were extraordinary. The runway presentation was incredible. The venue was perfect for this type of event.,Very Satisfied
P028,Sandra,29,Other,Minnesota,Indian Institute of Technology Delhi,Fashion Show,2024-11-04,The fabric choices were poor. The overall aesthetic was poor. The venue was well-suited to this type of event.,Very Dissatisfied
P029,Mark,53,Male,Delaware,University of Texas at Austin,Music,2024-11-03,The harmony between instruments was tolerable. The overall sound quality was ordinary. The venue was perfect for this type of event.,Neutral
P030,Emily,35,Female,Alaska,California Institute of Technology,Poetry,2024-11-04,The wordplay was wonderful. The overall performance was phenomenal.,Satisfied
P031,Donald,47,Female,Virginia,University of Melbourne,Drama,2024-11-04,The dialogues were standard. The plot progression was tolerable. Looking forward to similar events.,Neutral
P032,Ashley,35,Female,Alabama,Northwestern University,Fashion Show,2024-11-03,The styling was splendid. The thematic coherence was incredible. Looking forward to the next edition.,Very Satisfied
P033,Steven,38,Female,Wyoming,New York University,Art Exhibition,2024-11-05,The color schemes were remarkable. The interpretive descriptions were decent. I valued the occasion.,Satisfied
P034,Margaret,24,Female,Alabama,Indian Institute of Technology Bombay,Film Screening,2024-11-01,The acting performances were first-rate. The storyline was exceptional. I really enjoyed the occasion.,Very Satisfied
P035,Paul,61,Female,Arizona,Tsinghua University,Fashion Show,2024-11-03,The fashion innovation was exceptional. The show production was wonderful.,Satisfied
P036,Kimberly,24,Male,Arkansas,University of Texas at Austin,Poetry,2024-11-01,The metaphorical content was poor. The poets' presence was poor. It was my first time attending such an event.,Very Dissatisfied
P037,Andrew,42,Female,Iowa,Oxford University,Art Exhibition,2024-11-04,The color schemes were magnificent. The interpretive descriptions were top-notch. The venue was well-suited to this type of event.,Very Satisfied
P038,Amanda,55,Male,Illinois,Brown University,Fashion Show,2024-11-03,The fabric choices were sufficient. The overall aesthetic was brilliant.,Satisfied
P039,Joshua,35,Male,Maine,University of Arizona,Dance,2024-11-05,I found the dance performance to be fair and top-notch.,Satisfied
P040,Michelle,58,Female,Mississippi,King's College London,Poetry,2024-11-04,The rhythmic flow was lackluster. The emotional delivery was bland. Looking forward to similar events.,Very Dissatisfied
P041,Kenneth,41,Female,New Mexico,University of Minnesota,Poetry,2024-11-02,The metaphorical content was moderate. The poets' presence was tolerable.,Neutral
P042,Dorothy,41,Male,Delaware,Tsinghua University,Fashion Show,2024-11-01,The fabric choices were acceptable. The overall aesthetic was sufficient. I liked the occasion.,Neutral
P043,Kevin,57,Male,Nebraska,Vanderbilt University,Music,2024-11-04,The musical arrangement was fair. The vocalists were decent.,Neutral
P044,Melissa,60,Female,Washington,University of North Carolina at Chapel Hill,Debate,2024-11-04,The logical structure was first-rate. The rhetorical skill was impressive. The venue was well-suited to this type of event.,Very Satisfied
P045,Brian,41,Male,Montana,Princeton University,Stand-up Comedy,2024-11-05,The comedic delivery was satisfactory. The material was adequate. I valued the atmosphere.,Neutral
P046,Donna,26,Female,Pennsylvania,"University of California, Los Angeles",Art Exhibition,2024-11-01,The visual impact of the exhibition was extraordinary. The thematic coherence was phenomenal. It was my second time attending such an event.,Very Satisfied
P047,George,26,Male,Idaho,Stanford University,Art Exhibition,2024-11-05,The artistic technique was decent. The gallery layout was fair.,Neutral
P048,Carol,50,Male,New Jersey,Brown University,Cooking Competition,2024-11-01,The dish presentation was outstanding. The flavor combinations were wonderful.,Very Satisfied
P049,Edward,38,Female,South Dakota,University College London,Music,2024-11-02,The rhythm section was ordinary. The vocal performances were moderate. The venue was appropriate for this type of event.,Neutral
